[2026-07-03T17:14:35.670Z] supervised-capture.js: 138 executed, 84 killed, 53 survived, 0 nocov (of 165 generated)
[2026-07-03T17:17:46.384Z] manual-media-import.js: 21 executed, 7 killed, 13 survived, 0 nocov (of 23 generated)
[2026-07-03T17:19:38.587Z] package-media-index.js: 22 executed, 14 killed, 8 survived, 0 nocov (of 23 generated)
[2026-07-03T17:41:30.027Z] media-provenance.js: 118 executed, 20 killed, 98 survived, 0 nocov (of 118 generated)
[2026-07-03T17:44:11.387Z] media-routing.js: 30 executed, 18 killed, 11 survived, 0 nocov (of 34 generated)
[2026-07-03T17:45:40.460Z] resolve-handoff-readiness.js: 27 executed, 21 killed, 6 survived, 0 nocov (of 29 generated)
[2026-07-03T18:38:03.590Z] package-engine-server.js: 332 executed, 99 killed, 231 survived, 0 nocov (of 1871 generated)
[2026-07-03T18:46:10.503Z] project-state-resolver.js: 67 executed, 31 killed, 36 survived, 0 nocov (of 69 generated)
[2026-07-03T18:48:40.514Z] next-task-engine.js: 24 executed, 13 killed, 11 survived, 0 nocov (of 24 generated)
[2026-07-03T18:49:01.112Z] pipeline-tracker.js: 38 executed, 4 killed, 33 survived, 0 nocov (of 40 generated)
[2026-07-03T18:52:48.004Z] project-action-registry.js: 22 executed, 5 killed, 17 survived, 0 nocov (of 22 generated)
[2026-07-03T19:07:31.924Z] package-engine-run.js: 101 executed, 37 killed, 63 survived, 0 nocov (of 108 generated)
[2026-07-03T19:15:30.906Z] package-engine-model.js: 67 executed, 33 killed, 33 survived, 0 nocov (of 72 generated)
[2026-07-03T19:15:30.908Z] scripts/resolve-handoff.js: 21 executed, 0 killed, 0 survived, 21 nocov (of 21 generated)
[2026-07-03T19:15:30.910Z] scripts/import-manual-videos.js: 34 executed, 0 killed, 0 survived, 34 nocov (of 34 generated)
[2026-07-03T19:15:30.912Z] scripts/import-manual-images.js: 17 executed, 0 killed, 0 survived, 17 nocov (of 17 generated)
[2026-07-03T19:15:30.914Z] scripts/index-package-media.js: 12 executed, 0 killed, 0 survived, 12 nocov (of 12 generated)
[2026-07-03T19:17:31.962Z] scripts/supervised-capture.js: 76 executed, 22 killed, 53 survived, 0 nocov (of 76 generated)
[2026-07-03T19:17:31.966Z] app.js: 60 executed, 0 killed, 0 survived, 60 nocov (of 159 generated)
[2026-07-03T19:17:31.967Z] clipboard.js: 8 executed, 0 killed, 0 survived, 8 nocov (of 8 generated)
[2026-07-03T19:24:32.478Z] earth-studio-job-planner.js: 54 executed, 25 killed, 29 survived, 0 nocov (of 93 generated)
[2026-07-03T19:32:00.058Z] earth-studio-lane.js: 48 executed, 17 killed, 31 survived, 0 nocov (of 51 generated)
[2026-07-03T19:32:54.683Z] episode-model.js: 53 executed, 29 killed, 24 survived, 0 nocov (of 505 generated)
[2026-07-03T19:32:54.685Z] friction-log.js: 31 executed, 0 killed, 0 survived, 31 nocov (of 31 generated)
[2026-07-03T19:37:38.308Z] idea-promotion.js: 48 executed, 29 killed, 19 survived, 0 nocov (of 50 generated)
[2026-07-03T19:37:38.310Z] job-progress.js: 17 executed, 0 killed, 0 survived, 17 nocov (of 17 generated)
[2026-07-03T19:37:38.313Z] media-gallery.js: 49 executed, 0 killed, 0 survived, 49 nocov (of 49 generated)
[2026-07-03T19:39:01.497Z] music-cue-generator.js: 53 executed, 28 killed, 22 survived, 0 nocov (of 56 generated)
[2026-07-03T19:39:11.244Z] orientation-bar.js: 22 executed, 8 killed, 14 survived, 0 nocov (of 22 generated)
[2026-07-03T19:39:11.248Z] package-engine.js: 60 executed, 0 killed, 0 survived, 60 nocov (of 354 generated)
[2026-07-03T19:39:38.754Z] package-run-artifact-panel.js: 54 executed, 3 killed, 51 survived, 0 nocov (of 58 generated)
[2026-07-03T21:01:57.088Z] package-runs-dashboard.js: 58 executed, 10 killed, 48 survived, 0 nocov (of 1275 generated)
[2026-07-03T21:02:08.936Z] plain-next-action.js: 7 executed, 0 killed, 6 survived, 0 nocov (of 7 generated)
[2026-07-03T21:02:08.939Z] project-client.js: 46 executed, 0 killed, 0 survived, 46 nocov (of 46 generated)
[2026-07-03T21:04:34.621Z] project-discovery.js: 16 executed, 6 killed, 10 survived, 0 nocov (of 18 generated)
[2026-07-03T21:05:42.162Z] project-i2v-prompts.js: 12 executed, 8 killed, 4 survived, 0 nocov (of 12 generated)
[2026-07-03T21:06:40.407Z] project-image-prompts.js: 11 executed, 7 killed, 4 survived, 0 nocov (of 12 generated)
[2026-07-03T21:09:06.854Z] project-script.js: 22 executed, 12 killed, 10 survived, 0 nocov (of 24 generated)
[2026-07-03T21:14:47.745Z] project-video-review.js: 44 executed, 28 killed, 16 survived, 0 nocov (of 45 generated)
[2026-07-03T21:18:41.896Z] remotion-lane.js: 38 executed, 22 killed, 16 survived, 0 nocov (of 42 generated)
[2026-07-03T21:18:41.899Z] resolve-readiness-panel.js: 21 executed, 0 killed, 0 survived, 21 nocov (of 21 generated)
[2026-07-03T21:18:41.901Z] run-listing.js: 23 executed, 0 killed, 0 survived, 23 nocov (of 23 generated)
[2026-07-03T21:30:46.116Z] score-engine/composer.js: 57 executed, 14 killed, 43 survived, 0 nocov (of 104 generated)
[2026-07-03T21:42:04.784Z] score-engine/cue-planner.js: 59 executed, 17 killed, 42 survived, 0 nocov (of 64 generated)
[2026-07-03T21:45:58.145Z] score-engine/midi-writer.js: 20 executed, 9 killed, 9 survived, 0 nocov (of 20 generated)
[2026-07-03T21:53:25.860Z] score-engine/preview-synth.js: 34 executed, 8 killed, 24 survived, 0 nocov (of 34 generated)
[2026-07-03T21:55:59.226Z] score-engine/reaper-backend.js: 12 executed, 6 killed, 6 survived, 0 nocov (of 12 generated)
[2026-07-03T22:06:35.125Z] score-engine/score-lane.js: 57 executed, 29 killed, 28 survived, 0 nocov (of 169 generated)
[2026-07-03T22:16:49.702Z] score-engine/score-schemas.js: 60 executed, 27 killed, 33 survived, 0 nocov (of 96 generated)
[2026-07-03T22:20:57.633Z] score-explanation.js: 27 executed, 10 killed, 17 survived, 0 nocov (of 28 generated)
[2026-07-03T22:22:48.539Z] script-commitment-check.js: 21 executed, 13 killed, 7 survived, 0 nocov (of 22 generated)
[2026-07-03T22:22:51.326Z] scripts/backfill-score-explanation.js: 47 executed, 14 killed, 32 survived, 0 nocov (of 47 generated)
[2026-07-03T22:22:51.330Z] scripts/browser-workflow-smoke.js: 60 executed, 0 killed, 0 survived, 60 nocov (of 63 generated)
[2026-07-03T22:22:51.334Z] scripts/daily-idea-scout-launch.js: 9 executed, 0 killed, 0 survived, 9 nocov (of 9 generated)
[2026-07-03T22:22:55.175Z] scripts/daily-idea-scout-providers.js: 53 executed, 31 killed, 22 survived, 0 nocov (of 60 generated)
[2026-07-03T22:22:55.946Z] scripts/daily-idea-scout-request.js: 10 executed, 1 killed, 9 survived, 0 nocov (of 10 generated)
[2026-07-03T22:28:39.813Z] scripts/daily-idea-scout.js: 52 executed, 30 killed, 22 survived, 0 nocov (of 117 generated)
[2026-07-03T22:28:46.708Z] scripts/docs-authority-check.js: 16 executed, 6 killed, 10 survived, 0 nocov (of 16 generated)
[2026-07-03T22:29:23.836Z] scripts/earth-studio-job-plan.js: 42 executed, 27 killed, 15 survived, 0 nocov (of 42 generated)
[2026-07-03T22:30:14.743Z] scripts/episode-factory.js: 55 executed, 36 killed, 19 survived, 0 nocov (of 106 generated)
[2026-07-03T22:30:18.979Z] scripts/generate-production-spec.js: 10 executed, 4 killed, 6 survived, 0 nocov (of 13 generated)
[2026-07-03T22:30:49.767Z] scripts/music-cue-new.js: 38 executed, 26 killed, 12 survived, 0 nocov (of 38 generated)
[2026-07-03T22:32:18.979Z] scripts/next-task-classifier.js: 48 executed, 6 killed, 42 survived, 0 nocov (of 63 generated)
[2026-07-03T22:33:17.490Z] scripts/oneof10-input-helper.js: 45 executed, 20 killed, 25 survived, 0 nocov (of 48 generated)
[2026-07-03T22:33:40.316Z] scripts/package-engine-new-outline.js: 16 executed, 6 killed, 10 survived, 0 nocov (of 16 generated)
[2026-07-03T22:34:14.785Z] scripts/package-engine-new-production.js: 27 executed, 13 killed, 14 survived, 0 nocov (of 27 generated)
[2026-07-03T22:34:29.229Z] scripts/package-engine-new-run.js: 11 executed, 5 killed, 6 survived, 0 nocov (of 11 generated)
[2026-07-03T22:34:52.658Z] scripts/package-engine-new-script.js: 22 executed, 14 killed, 8 survived, 0 nocov (of 22 generated)
[2026-07-03T22:45:16.678Z] scripts/package-run-active-state-audit.js: 58 executed, 17 killed, 41 survived, 0 nocov (of 118 generated)
[2026-07-03T22:52:47.194Z] scripts/package-run-archive-manifest.js: 53 executed, 26 killed, 27 survived, 0 nocov (of 113 generated)
[2026-07-03T22:53:48.481Z] scripts/package-run-artifact-hygiene.js: 48 executed, 33 killed, 15 survived, 0 nocov (of 79 generated)
[2026-07-03T22:54:42.471Z] scripts/package-run-broll-prompts.js: 49 executed, 33 killed, 16 survived, 0 nocov (of 66 generated)
[2026-07-03T22:55:34.636Z] scripts/package-run-capture-checklist.js: 46 executed, 30 killed, 16 survived, 0 nocov (of 57 generated)
[2026-07-03T23:02:05.588Z] scripts/package-run-capture-evidence-review.js: 56 executed, 35 killed, 21 survived, 0 nocov (of 108 generated)
[2026-07-03T23:03:16.983Z] scripts/package-run-capture-gap.js: 50 executed, 25 killed, 25 survived, 0 nocov (of 53 generated)
[2026-07-03T23:04:31.835Z] scripts/package-run-creator-qa.js: 58 executed, 31 killed, 27 survived, 0 nocov (of 88 generated)
[2026-07-03T23:12:30.439Z] scripts/package-run-doctor.js: 56 executed, 28 killed, 28 survived, 0 nocov (of 164 generated)
[2026-07-03T23:13:55.457Z] scripts/package-run-evidence-lint.js: 58 executed, 23 killed, 35 survived, 0 nocov (of 75 generated)
[2026-07-03T23:20:28.755Z] scripts/package-run-export-checklist.js: 49 executed, 26 killed, 23 survived, 0 nocov (of 65 generated)
[2026-07-03T23:25:48.092Z] scripts/package-run-final-review.js: 47 executed, 30 killed, 17 survived, 0 nocov (of 92 generated)
[2026-07-03T23:26:07.928Z] scripts/package-run-newsletter.js: 37 executed, 24 killed, 13 survived, 0 nocov (of 42 generated)
[2026-07-03T23:27:29.760Z] scripts/package-run-next-action-authority.js: 56 executed, 32 killed, 24 survived, 0 nocov (of 182 generated)
[2026-07-03T23:28:12.195Z] scripts/package-run-next-action.js: 30 executed, 18 killed, 12 survived, 0 nocov (of 31 generated)
[2026-07-03T23:37:29.557Z] scripts/package-run-next-safe-action.js: 41 executed, 2 killed, 39 survived, 0 nocov (of 42 generated)
[2026-07-03T23:38:22.368Z] scripts/package-run-production-approval-repair.js: 45 executed, 33 killed, 12 survived, 0 nocov (of 48 generated)
[2026-07-03T23:39:37.783Z] scripts/package-run-production-approval-review.js: 56 executed, 32 killed, 24 survived, 0 nocov (of 79 generated)
[2026-07-03T23:47:33.526Z] scripts/package-run-production-plan.js: 50 executed, 20 killed, 30 survived, 0 nocov (of 103 generated)
[2026-07-03T23:53:52.602Z] scripts/package-run-publication-metadata.js: 52 executed, 31 killed, 21 survived, 0 nocov (of 89 generated)
[2026-07-03T23:54:50.960Z] scripts/package-run-repurpose.js: 50 executed, 31 killed, 19 survived, 0 nocov (of 74 generated)
[2026-07-04T00:00:46.906Z] scripts/package-run-research-evidence.js: 56 executed, 38 killed, 18 survived, 0 nocov (of 90 generated)
